Date,Open,High,Low,Close,Adj Close,Volume
2020-09-02,4.480000,4.510000,4.300000,4.350000,4.350000,230500
2020-09-03,4.330000,4.510000,4.180000,4.190000,4.190000,274700
2020-09-04,4.180000,4.350000,3.990000,4.060000,4.060000,307800
2020-09-08,4.060000,4.070000,3.900000,3.900000,3.900000,179200
2020-09-09,3.880000,4.010000,3.700000,3.730000,3.730000,220200
2020-09-10,3.760000,4.000000,3.760000,3.950000,3.950000,264700
2020-09-11,4.010000,4.180000,3.870000,4.140000,4.140000,319800
2020-09-14,4.290000,5.000000,4.290000,4.830000,4.830000,1348200
2020-09-15,4.950000,5.820000,4.810000,5.330000,5.330000,1273300
2020-09-16,5.300000,6.390000,5.300000,5.920000,5.920000,2008400
2020-09-17,5.970000,6.690000,5.720000,6.190000,6.190000,2107100
2020-09-18,6.400000,6.600000,6.040000,6.050000,6.050000,2272600
2020-09-21,6.300000,6.850000,6.110000,6.580000,6.580000,1682500
2020-09-22,6.620000,7.360000,6.520000,7.090000,7.090000,1721800
2020-09-23,7.020000,7.350000,6.110000,6.220000,6.220000,1799300
2020-09-24,6.190000,6.550000,6.020000,6.240000,6.240000,670300
2020-09-25,6.250000,6.450000,5.980000,6.120000,6.120000,606400
2020-09-28,6.190000,6.550000,6.140000,6.170000,6.170000,579700
2020-09-29,6.270000,7.090000,6.270000,6.490000,6.490000,1373200
2020-09-30,6.470000,6.660000,6.080000,6.210000,6.210000,1238100
2020-10-01,6.320000,7.820000,6.320000,7.790000,7.790000,3957400
2020-10-02,7.430000,8.150000,7.310000,7.930000,7.930000,1691200
2020-10-05,8.120000,8.720000,8.020000,8.700000,8.700000,2475200
2020-10-06,8.770000,9.320000,8.650000,9.000000,9.000000,1785100
2020-10-07,9.160000,9.720000,8.260000,8.800000,8.800000,1731400
2020-10-08,8.770000,9.320000,8.200000,8.570000,8.570000,1446700
2020-10-09,8.550000,8.840000,8.380000,8.550000,8.550000,549500
2020-10-12,8.630000,8.740000,8.420000,8.490000,8.490000,447400
2020-10-13,8.480000,9.090000,8.300000,8.750000,8.750000,695500
2020-10-14,8.860000,8.990000,8.550000,8.900000,8.900000,466300
2020-10-15,8.650000,9.550000,8.580000,9.450000,9.450000,837600
2020-10-16,9.440000,9.450000,8.910000,9.140000,9.140000,587100
2020-10-19,9.220000,9.490000,9.080000,9.160000,9.160000,926800
2020-10-20,9.270000,10.480000,9.040000,10.050000,10.050000,2316300
2020-10-21,11.210000,11.880000,8.940000,8.950000,8.950000,6739000
2020-10-22,8.770000,9.540000,8.250000,9.510000,9.510000,2084600
2020-10-23,9.520000,10.190000,9.520000,9.840000,9.840000,1843500
2020-10-26,9.780000,10.000000,8.720000,9.120000,9.120000,1444000
2020-10-27,9.240000,9.440000,8.940000,9.240000,9.240000,883600
2020-10-28,8.980000,9.190000,8.430000,8.820000,8.820000,1026500
2020-10-29,8.810000,9.780000,8.810000,9.550000,9.550000,1181900
2020-10-30,9.410000,9.630000,8.910000,9.520000,9.520000,899000
2020-11-02,9.570000,10.020000,9.100000,9.440000,9.440000,1222000
2020-11-03,9.690000,9.770000,9.240000,9.520000,9.520000,701400
2020-11-04,9.470000,9.900000,9.330000,9.710000,9.710000,863400
2020-11-05,10.400000,10.940000,10.050000,10.190000,10.190000,1293500
2020-11-06,10.050000,10.360000,9.640000,9.740000,9.740000,895400
2020-11-09,10.750000,10.750000,9.290000,9.460000,9.460000,1281300
2020-11-10,9.500000,10.550000,9.310000,10.100000,10.100000,1257200
2020-11-11,10.050000,10.340000,9.540000,10.040000,10.040000,782500
2020-11-12,10.040000,10.400000,9.810000,9.980000,9.980000,769900
2020-11-13,10.150000,10.420000,9.860000,9.980000,9.980000,578600
2020-11-16,10.080000,10.100000,9.600000,9.740000,9.740000,648700
2020-11-17,9.630000,10.250000,9.520000,9.750000,9.750000,1550600
2020-11-18,9.750000,10.150000,9.550000,9.690000,9.690000,721600
2020-11-19,9.600000,10.590000,9.550000,10.380000,10.380000,3324100
2020-11-20,10.750000,11.330000,10.610000,11.100000,11.100000,2813300
2020-11-23,11.260000,11.440000,9.180000,9.310000,9.310000,4226200
2020-11-24,9.460000,9.460000,8.780000,9.270000,9.270000,2907700
2020-11-25,9.160000,9.390000,8.750000,9.130000,9.130000,950600
2020-11-27,9.060000,9.840000,9.030000,9.580000,9.580000,928200
2020-11-30,9.640000,9.730000,8.910000,9.300000,9.300000,1371300
2020-12-01,9.510000,9.720000,9.120000,9.390000,9.390000,672400
2020-12-02,9.250000,9.890000,9.070000,9.500000,9.500000,977200
2020-12-03,9.480000,9.840000,9.320000,9.640000,9.640000,776300
2020-12-04,9.700000,10.280000,9.510000,9.970000,9.970000,1618100
2020-12-07,10.050000,10.050000,9.400000,9.790000,9.790000,930100
2020-12-08,9.700000,10.150000,9.700000,9.910000,9.910000,611800
2020-12-09,10.000000,11.070000,9.910000,10.820000,10.820000,1443200
2020-12-10,10.640000,11.430000,10.030000,10.780000,10.780000,1271200
2020-12-11,10.760000,10.980000,10.410000,10.520000,10.520000,447000
2020-12-14,10.640000,10.750000,10.010000,10.440000,10.440000,668200
2020-12-15,10.400000,10.940000,10.190000,10.810000,10.810000,825900
